epoch,accuracy,loss,val_accuracy,val_loss
0,0.6695840954780579,0.9970302581787109,0.7179998159408569,0.6110039353370667
1,0.7262508273124695,0.6024798154830933,0.7179998159408569,0.611877977848053
2,0.7664175629615784,0.5639980435371399,0.8001664876937866,0.5135957598686218
3,0.8364179730415344,0.439836323261261,0.8374997973442078,0.4143032133579254
4,0.844959557056427,0.3797122538089752,0.8428331613540649,0.37044283747673035
5,0.8468344211578369,0.3597043454647064,0.8406664729118347,0.35727208852767944
6,0.846168041229248,0.35306107997894287,0.8443331122398376,0.3561590611934662
7,0.8466678261756897,0.34640824794769287,0.8434997797012329,0.3523891270160675
8,0.8487927317619324,0.3421775698661804,0.8414998054504395,0.351960152387619
9,0.8492092490196228,0.33960768580436707,0.8441663980484009,0.3479779362678528
10,0.8480010032653809,0.33780014514923096,0.8434997200965881,0.3459598124027252
11,0.8494176268577576,0.3350849747657776,0.8424997329711914,0.3494245409965515
12,0.8513762354850769,0.33302950859069824,0.8418330550193787,0.3451477587223053
13,0.8508345484733582,0.3312385678291321,0.8411664366722107,0.34284380078315735
14,0.8491678237915039,0.32988348603248596,0.8351663947105408,0.349063515663147
15,0.850334107875824,0.32814615964889526,0.836666464805603,0.34825828671455383
16,0.8504592180252075,0.326307088136673,0.8416665196418762,0.3430703282356262
17,0.8530009388923645,0.3258495628833771,0.8421663641929626,0.34509286284446716
18,0.8510010242462158,0.3230268359184265,0.8401663303375244,0.34946489334106445
