epoch,accuracy,loss,val_accuracy,val_loss
0,0.6719591021537781,0.9420433640480042,0.7189997434616089,0.6056432127952576
1,0.7211257815361023,0.6037775874137878,0.7253331542015076,0.5997979044914246
2,0.7344592809677124,0.5953011512756348,0.7619998455047607,0.5724496245384216
3,0.7970844507217407,0.5197252035140991,0.8316664695739746,0.48266974091529846
4,0.8394594788551331,0.43176349997520447,0.8414997458457947,0.3998670279979706
5,0.8464590907096863,0.3779865801334381,0.8461663126945496,0.37118470668792725
6,0.8457928895950317,0.35966330766677856,0.8439998030662537,0.3559766709804535
7,0.8467095494270325,0.3509223759174347,0.8434997797012329,0.35204970836639404
8,0.8459179401397705,0.3467486798763275,0.8414996862411499,0.3533332645893097
9,0.8463759422302246,0.3426164388656616,0.8436664938926697,0.35483747720718384
10,0.847626268863678,0.33944231271743774,0.8423331379890442,0.35538002848625183
11,0.8471679091453552,0.33717188239097595,0.8416664004325867,0.3474574089050293
12,0.8478343486785889,0.3339986205101013,0.8461664319038391,0.3437125086784363
13,0.8499593734741211,0.333018958568573,0.8434997797012329,0.34545576572418213
14,0.8481262922286987,0.3340420126914978,0.8456663489341736,0.3407399654388428
15,0.8494594097137451,0.3300686180591583,0.8438330292701721,0.34300753474235535
16,0.8499595522880554,0.328180730342865,0.8444997668266296,0.34305089712142944
17,0.8511260747909546,0.3267073333263397,0.8466663956642151,0.3419342637062073
18,0.8503758907318115,0.32662007212638855,0.8413330912590027,0.3438677489757538
19,0.8503760695457458,0.3244636654853821,0.8423330783843994,0.3434239625930786
