epoch,accuracy,loss,val_accuracy,val_loss
0,0.6829593181610107,0.9342068433761597,0.7179998159408569,0.6083135604858398
1,0.7246674299240112,0.604561984539032,0.7206664681434631,0.6001455783843994
2,0.757667601108551,0.5691354870796204,0.7809997200965881,0.5378938913345337
3,0.8250842690467834,0.46633291244506836,0.8413330316543579,0.4024657607078552
4,0.8449175953865051,0.3859195411205292,0.8396664261817932,0.3881775438785553
5,0.8466259241104126,0.36324384808540344,0.8393331170082092,0.35954880714416504
6,0.8472927808761597,0.35329902172088623,0.836499810218811,0.35902324318885803
7,0.8447510004043579,0.35046249628067017,0.8361663222312927,0.35489824414253235
8,0.8439176678657532,0.34543126821517944,0.8386663794517517,0.3536117672920227
9,0.8465427160263062,0.34011954069137573,0.839999794960022,0.3510574698448181
10,0.8473343849182129,0.34021368622779846,0.8409997224807739,0.349023699760437
11,0.8455842733383179,0.33884093165397644,0.8384997248649597,0.34492459893226624
12,0.8476678133010864,0.33569973707199097,0.837999701499939,0.3550795018672943
13,0.8467926979064941,0.33380287885665894,0.8403330445289612,0.34722447395324707
14,0.8485012054443359,0.3313522934913635,0.8418330550193787,0.343833863735199
15,0.8478345274925232,0.332192063331604,0.8419998288154602,0.34771648049354553
16,0.8499175906181335,0.33070865273475647,0.8431665301322937,0.3435575067996979
17,0.8504592776298523,0.329565167427063,0.8408331274986267,0.3463478684425354
18,0.8500011563301086,0.3285110592842102,0.8424996733665466,0.34355857968330383
19,0.8497926592826843,0.3270246386528015,0.8414998054504395,0.3452166020870209
20,0.8482927083969116,0.32627275586128235,0.8374997973442078,0.3446941673755646
21,0.850834310054779,0.3238515257835388,0.8384997248649597,0.34813177585601807
