epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6997926831245422,0.0010000000474974513,0.7931421399116516,0.7179998159408569,0.5952262282371521
1,0.8245840668678284,0.0010000000474974513,0.44518983364105225,0.8434997200965881,0.39562398195266724
2,0.8413342833518982,0.0010000000474974513,0.3778115212917328,0.8336665034294128,0.3841798007488251
3,0.8434596061706543,0.0010000000474974513,0.36228784918785095,0.839666485786438,0.3622189164161682
4,0.8419590592384338,0.0010000000474974513,0.3528434634208679,0.8378331661224365,0.3603680729866028
5,0.8417927622795105,0.0010000000474974513,0.3513369560241699,0.8331664800643921,0.3555649220943451
6,0.8420429825782776,0.0010000000474974513,0.3458215892314911,0.8418331146240234,0.35914865136146545
7,0.8442510962486267,0.0010000000474974513,0.3415149748325348,0.8314998745918274,0.3591606616973877
8,0.8473342657089233,0.0010000000474974513,0.33727481961250305,0.8451664447784424,0.35287341475486755
9,0.8756676912307739,0.0010000000474974513,0.30379313230514526,0.8828330039978027,0.2989707589149475
10,0.8917509913444519,0.0010000000474974513,0.2790076732635498,0.886833131313324,0.2978841960430145
11,0.9056262969970703,0.0010000000474974513,0.26157957315444946,0.9118329882621765,0.2611652612686157
12,0.9162930250167847,0.0010000000474974513,0.23944604396820068,0.9116663932800293,0.2664065957069397
13,0.9169594049453735,0.0010000000474974513,0.2309962511062622,0.9116663932800293,0.2640707492828369
14,0.9200011491775513,0.0010000000474974513,0.22287330031394958,0.9083331823348999,0.26947352290153503
15,0.9260424971580505,0.0005000000237487257,0.20380274951457977,0.9148330688476562,0.24873289465904236
16,0.9352514147758484,0.0005000000237487257,0.17773938179016113,0.9324997067451477,0.21383555233478546
17,0.9435009956359863,0.0005000000237487257,0.15721841156482697,0.9288330078125,0.21837468445301056
18,0.950667679309845,0.0005000000237487257,0.13522474467754364,0.9399996995925903,0.18818819522857666
19,0.9633761048316956,0.0005000000237487257,0.10971428453922272,0.9603331685066223,0.1318986713886261
20,0.9767094850540161,0.0005000000237487257,0.06778114289045334,0.9638330936431885,0.11407172679901123
21,0.9824597239494324,0.0005000000237487257,0.04969918355345726,0.9639997482299805,0.11010753363370895
22,0.9854599833488464,0.0005000000237487257,0.041203346103429794,0.962999701499939,0.10859904438257217
23,0.9869179129600525,0.0005000000237487257,0.038347359746694565,0.9636662006378174,0.1128964051604271
24,0.9907926321029663,0.0005000000237487257,0.027402006089687347,0.9619996547698975,0.11672897636890411
25,0.9937922358512878,0.0005000000237487257,0.0208835918456316,0.965166449546814,0.11657338589429855
26,0.9975836277008057,0.0002500000118743628,0.0124399708583951,0.9646663665771484,0.11821963638067245
27,0.9982085227966309,0.0002500000118743628,0.00916310679167509,0.965166449546814,0.1201678216457367
28,0.9988753199577332,0.0002500000118743628,0.007363659329712391,0.9659996628761292,0.1231427788734436
29,0.9996667504310608,0.0001250000059371814,0.005126527976244688,0.9654996991157532,0.12537771463394165
30,0.9996667504310608,0.0001250000059371814,0.0046657235361635685,0.9654995799064636,0.1275852620601654
